CD_MUN,NOME_CLEAN,latitude,longitude
1101005,governador jorge teixeiraRO,-10.748029345029144,-63.184012138018964
1101104,itapua do oesteRO,-9.170209678147105,-63.04494128568463
1101203,ministro andreazzaRO,-11.160294268669437,-61.56896916905671
1101302,mirante da serraRO,-11.076837840006396,-62.847979331931924
1101401,monte negroRO,-10.210832496075245,-63.372392608163935
1101435,nova uniaoRO,-10.889344285058591,-62.5323571382093
1101450,parecisRO,-12.262326907872207,-61.41538368392302
1101468,pimenteiras do oesteRO,-13.17387596126366,-61.54530688426745
1101476,primavera de rondoniaRO,-11.878685960501015,-61.3153353804454
1101484,sao felipe d'oesteRO,-11.90496797310065,-61.4670704163671
1101492,sao francisco do guaporeRO,-12.368407632647452,-63.12214695381902
1101500,seringueirasRO,-11.807217645501053,-63.23069906553022
1101559,teixeiropolisRO,-10.94345327898465,-62.279771597398344
1101609,theobromaRO,-10.12176886674631,-62.34250454794528
1101708,urupaRO,-11.103952818163055,-62.42441033780308
1101757,vale do anariRO,-9.732434292084502,-61.939100669863365
1101807,vale do paraisoRO,-10.384256696760529,-62.094046525011336
1200013,acrelandiaAC,-9.933934857755926,-66.95016769820481
1200054,assis brasilAC,-10.779758860044756,-70.00568369859211
1200104,brasileiaAC,-10.747373775097047,-69.20747772500796
1200138,bujariAC,-9.614094874074947,-68.1737108690376
1200179,capixabaAC,-10.474233406905151,-67.83584235796926
1200203,cruzeiro do sulAC,-7.971860231000199,-72.75480752763335
1200252,epitaciolandiaAC,-10.889196261055469,-68.61822202793122
1200302,feijoAC,-8.924431928093483,-70.74477077624304
1200328,jordaoAC,-9.242653117183274,-71.90611215398401
1200336,mancio limaAC,-7.504429807476787,-73.43909377702676
1200344,manoel urbanoAC,-9.381104113775699,-69.85377942694122
1200351,marechal thaumaturgoAC,-9.096286440292891,-72.55923165161981
1200385,placido de castroAC,-10.249094024690462,-67.34031893711814
1200393,porto walterAC,-8.491908530544848,-72.73355121052795
1200401,rio brancoAC,-10.0661349491695,-68.37106195110408
1200427,rodrigues alvesAC,-7.843835282929955,-73.22344787040137
1200435,santa rosa do purusAC,-9.410637702424435,-70.39578415911976
1200450,senador guiomardAC,-9.997220896303268,-67.4275936317254
1200500,sena madureiraAC,-9.77142177018263,-69.38179517751136
1200609,tarauacaAC,-8.239465958807747,-71.4449915268188
1200708,xapuriAC,-10.575599433718295,-68.50473327812144
1200807,porto acreAC,-9.629473706304159,-67.69848710619684
1300029,alvaraesAM,-3.694684746675708,-65.32444669841368
1300060,amaturaAM,-3.418433428321993,-68.28649946987183
1300086,anamaAM,-3.5018567870740607,-61.717987878600916
1300102,anoriAM,-4.198680214632754,-62.09540948403762
1300144,apuiAM,-7.759951480422888,-59.43210835205913
1300201,atalaia do norteAM,-5.710785341918049,-71.74091112432376
1300300,autazesAM,-3.7872305109996387,-59.52553389665627
1300409,barcelosAM,-0.4650992193657236,-63.43471763820549
1300508,barreirinhaAM,-3.12902520639055,-57.17238329795767
1300607,benjamin constantAM,-5.425347445134057,-70.2759445128312
1300631,beruriAM,-4.606232873824767,-61.80435256822395
1300680,boa vista do ramosAM,-3.1378109073850426,-57.67010990902191
1300706,boca do acreAM,-8.773154667669615,-68.04763358775833
1300805,borbaAM,-4.9576174349861155,-59.53469392843407
1300839,caapirangaAM,-3.082018997536048,-61.8777578071592
1300904,canutamaAM,-7.300758099954499,-64.06190340932076
1301001,carauariAM,-5.11851648848198,-67.3374716380764
1301100,careiroAM,-3.770484298743962,-60.18327327093985
1301159,careiro da varzeaAM,-3.2860120498465175,-59.59867699611914
1301209,coariAM,-4.436351417343804,-64.12531064640508
1301308,codajasAM,-3.2889719656745537,-62.97331502440762
1301407,eirunepeAM,-7.021998047216979,-70.21824815279244
1301506,enviraAM,-7.573304190469436,-70.05508588916071
1301605,fonte boaAM,-2.4909855406731443,-66.3579242147065
1301654,guajaraAM,-7.229780929524515,-72.84458794980841
1301704,humaitaAM,-7.36121752764476,-62.48643557568531
1301803,ipixunaAM,-7.1805115792357395,-71.41286686774374
1301852,irandubaAM,-3.095218725331638,-60.4796872188968
1301902,itacoatiaraAM,-3.174123473243175,-58.77534279766608
1301951,itamaratiAM,-6.6828222402271,-68.11284121510297
1302009,itapirangaAM,-2.4972374433043902,-58.61326833892238
1302108,japuraAM,-1.6970807098089586,-68.32111769599372
1302207,juruaAM,-3.524464207475711,-66.30779918675339
1302306,jutaiAM,-4.7152908524276285,-68.40630448524192
1302405,labreaAM,-8.375601480388989,-65.81166286106033
1302504,manacapuruAM,-3.2915381685717264,-60.9587578018521
1302553,manaquiriAM,-3.7790507406852427,-60.697266062493185
1302603,manausAM,-2.625919382624245,-60.25962801421486
1302702,manicoreAM,-6.459960113056875,-61.44677326569856
1302801,maraaAM,-2.4268286433243027,-65.03955122909346
1302900,mauesAM,-4.984780950208547,-58.060922849253835
1303007,nhamundaAM,-1.6805857923075784,-57.65624541348651
1303106,nova olinda do norteAM,-3.9895028216511568,-58.59976987094208
1303205,novo airaoAM,-2.048245987590205,-61.70342029444874
1303304,novo aripuanaAM,-6.824012901575674,-60.47715479948319
1303403,parintinsAM,-2.688097965999019,-56.85464486626843
1303502,pauiniAM,-7.757805439776877,-68.19714094780021
1303536,presidente figueiredoAM,-1.3709195820204636,-59.989552767548574
1303569,rio preto da evaAM,-2.5298229254857656,-59.638380419871794
1303601,santa isabel do rio negroAM,-0.31836399969908946,-65.52132858040412
1303700,santo antonio do icaAM,-3.052907718943958,-69.0893525802269
1303809,sao gabriel da cachoeiraAM,0.3744770705477498,-67.99706248616077
1303908,sao paulo de olivencaAM,-4.501436484946642,-69.45111858637381
1303957,sao sebastiao do uatumaAM,-1.9417623500804226,-58.70526097875074
1304005,silvesAM,-2.820549321231465,-58.537087354832906
1304062,tabatingaAM,-4.028249697324346,-69.67762502510641
1304104,tapauaAM,-6.093701966659891,-64.95579642177157
1304203,tefeAM,-4.470110667399924,-65.53153604445829
1304237,tonantinsAM,-2.6918091718556303,-67.82604943350061
1304260,uariniAM,-3.165655863541736,-65.41078966382038
1304302,urucaraAM,-0.8943904083275621,-59.02958765220062
1304401,urucuritubaAM,-2.813757323531488,-57.77131013924437
1400027,amajariRR,3.7329020369582975,-62.43702176274251
1400050,alto alegreRR,3.072100355967317,-62.74236800501164
1400100,boa vistaRR,3.1179150009891963,-60.71795308500435
1400159,bonfimRR,2.7876623297486662,-60.10061132291453
1400175,cantaRR,2.272836718046951,-60.54228497044258
1400209,caracaraiRR,0.9907342091686845,-61.47156262982608
1400233,caroebeRR,0.9146902873917317,-59.33814403201764
1400282,iracemaRR,2.181807877209425,-62.401659326868796
1400308,mucajaiRR,2.510970974764502,-61.996788650473555
1400407,normandiaRR,3.878878783353005,-60.06543380153883
1400456,pacaraimaRR,4.168524263929725,-60.839380980175584
1400472,rorainopolisRR,0.03804099733468974,-61.01117500797124
